Frame,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Categories,
,Hip Center,,,Spine,,,Shoulder Center,,,Head,,,Shoulder Left,,,Elbow Left,,,Wrist Left,,,Hand Left,,,Shoulder Right,,,Elbow Right,,,Wrist Right,,,Hand Right,,,Hip Left,,,Knee Left,,,Ankle Left,,,Foot Left,,,Hip Right,,,Knee Right,,,Ankle Right,,,Foot Right,,,Position,Depth
20,-0.29912,-0.29474,1.2847,-0.29782,-0.24859,1.3424,-0.31562,0.067449,1.3994,-0.30635,0.24834,1.4057,-0.45739,-0.054603,1.3525,-0.52374,-0.27834,1.3444,-0.55512,-0.45946,1.2934,-0.56136,-0.49456,1.2789,-0.17127,-0.041342,1.3282,-0.1126,-0.28088,1.2427,-0.11665,-0.44664,1.1421,-0.11889,-0.49337,1.1181,-0.36196,-0.36588,1.2676,-0.63687,-0.44128,1.3521,-0.93315,-0.52254,1.4323,-0.99998,-0.51399,1.3813,-0.22979,-0.34696,1.2611,0.046732,-0.43106,1.1648,0.34475,-0.52169,1.0501,0.3777,-0.51093,0.9721,In,Near
21,-0.23025,-0.29882,1.2828,-0.22634,-0.25629,1.3465,-0.25879,0.062654,1.4351,-0.25214,0.2407,1.4197,-0.38775,-0.072395,1.3742,-0.47509,-0.29699,1.3895,-0.49325,-0.47178,1.3144,-0.50436,-0.5155,1.288,-0.11671,-0.048708,1.3267,-0.058908,-0.28527,1.236,-0.065072,-0.45328,1.1428,-0.063571,-0.49746,1.1149,-0.2874,-0.37118,1.275,-0.55695,-0.44934,1.3697,-0.84669,-0.53336,1.4606,-0.91597,-0.51959,1.4146,-0.16451,-0.34221,1.2328,0.018806,-0.62119,1.105,0.16444,-0.84283,0.98931,0.17184,-0.84668,0.91038,In,Near
22,-0.13022,-0.27709,1.1437,-0.117,-0.22936,1.2003,-0.1099,0.090436,1.2484,-0.11523,0.27332,1.2526,-0.25097,-0.036647,1.2166,-0.32475,-0.25351,1.2269,-0.34208,-0.42209,1.1386,-0.35057,-0.44025,1.1391,0.016112,-0.022764,1.157,0.091791,-0.25615,1.0784,0.12123,-0.4174,0.9788,0.12486,-0.46388,0.95556,-0.1949,-0.34282,1.1438,-0.4604,-0.39691,1.259,-0.74556,-0.455,1.372,-0.81645,-0.44302,1.3284,-0.071402,-0.3313,1.1053,0.2591,-0.40749,0.99828,0.52147,-0.46797,0.89914,0.53991,-0.45406,0.82343,In,Near
23,-0.13407,-0.24772,1.01,-0.12807,-0.19736,1.0659,-0.11443,0.11547,1.085,-0.104,0.28828,1.0742,-0.2418,-0.032291,1.0086,-0.33661,-0.18839,1.0182,-0.36629,-0.34538,0.89455,-0.39026,-0.37812,0.86197,0.0024115,-0.017289,0.99158,0.078485,-0.25444,0.94029,-0.035789,-0.34139,0.81058,-0.073881,-0.37037,0.77136,-0.20833,-0.30574,1.0077,-0.52685,-0.38744,0.87039,-0.77932,-0.45219,0.74741,-0.80696,-0.44208,0.67405,-0.062872,-0.30064,0.97845,0.26802,-0.38351,0.87994,0.53029,-0.4492,0.78775,0.5541,-0.4402,0.71291,In,Near
24,-0.15717,-0.093105,0.90843,-0.15502,-0.057084,0.94826,-0.14133,0.13566,0.92878,-0.18847,0.27591,0.92423,-0.29845,0.040825,0.90532,-0.39454,-0.11658,0.87091,-0.33659,-0.28796,0.82149,-0.31727,-0.34509,0.80901,0.012828,0.07305,0.91402,0.02581,-0.14767,0.83772,0.017315,0.035511,0.84822,0.014484,0.096569,0.85571,-0.2572,-0.16766,0.86858,-0.40211,0.076805,0.94754,-0.55753,0.33899,1.0215,-0.58409,0.3957,0.96577,-0.067091,-0.17046,0.92123,-0.11209,0.15121,0.94322,0.069504,-0.10477,0.8572,0.088494,-0.12059,0.78226,In,Near
25,-0.011151,0.022363,0.94351,-0.0051046,0.044211,0.9656,0.017552,0.15309,0.93244,-0.012372,0.286,0.89692,-0.13957,0.058221,0.90899,-0.040025,-0.093395,0.88833,-0.15413,-0.23185,0.84977,-0.1546,-0.27836,0.8263,0.17206,0.091213,0.91775,-0.0065346,0.10793,0.86748,0.019897,0.2723,0.92763,0.03666,0.29349,0.88308,-0.108,-0.05201,0.95994,-0.17866,0.2111,0.82699,-0.15279,-0.23948,0.85297,-0.1173,-0.18391,0.87394,0.04367,-0.03888,0.92252,-0.1697,0.1641,0.95706,-0.13004,-0.09756,0.89374,-0.12372,-0.1266,0.82079,In,Near
26,0.058013,0.014149,0.95109,0.068064,0.038807,0.96885,0.11114,0.19155,0.9822,0.13001,0.33526,0.96873,-0.045983,0.096679,0.95875,-0.0032263,-0.066581,0.87266,0.050511,-0.23425,0.8987,0.068424,-0.29014,0.91132,0.19773,0.098157,0.94144,0.089015,-0.010067,0.82387,0.026805,0.11482,0.92592,0.0060691,0.15645,0.96388,-0.029729,-0.061581,1.0318,-0.042168,0.058595,0.74905,-0.068388,-0.27242,0.85865,-0.016341,-0.31356,0.85513,0.11233,-0.05779,0.86672,-0.15872,0.15255,0.95396,-0.082029,-0.15024,0.8792,-0.07738,-0.17018,0.80376,In,Near
27,0.24346,-0.091902,0.96794,0.26566,-0.053773,0.99745,0.35041,0.17748,1.0109,0.36485,0.3272,1.0196,0.23129,0.073929,0.99037,0.16155,-0.087671,1.0034,0.1653,-0.26887,0.93454,0.15675,-0.33145,0.90352,0.43455,0.076865,0.95517,0.40031,-0.069732,0.83395,0.24716,-0.16313,0.8325,0.19611,-0.19426,0.83595,0.15689,-0.13802,1.0058,0.19081,-0.47477,0.9137,0.21764,-0.74117,0.82701,0.20938,-0.7587,0.75138,0.29101,-0.14405,0.91007,0.61092,-0.017803,0.95051,0.864,0.082072,0.96869,0.89389,0.11776,0.90602,In,Near
28,0.37311,-0.16487,1.0739,0.39894,-0.12624,1.1181,0.44496,0.14821,1.1678,0.4497,0.30094,1.178,0.3191,0.050123,1.2003,0.25536,-0.14722,1.1752,0.23171,-0.32367,1.1424,0.23456,-0.38793,1.1139,0.52999,0.050622,1.1058,0.50168,-0.1287,0.99048,0.47447,-0.30127,0.9385,0.4654,-0.35879,0.92509,0.30424,-0.21403,1.085,0.22432,-0.53764,1.1701,0.16118,-0.79328,1.2236,0.11374,-0.83632,1.1792,0.42019,-0.21486,1.0308,0.58166,0.092403,1.0175,0.70922,0.33513,0.9933,0.69707,0.38633,0.9358,In,Near
29,0.29343,-0.1671,1.1386,0.30335,-0.13254,1.1906,0.31221,0.1317,1.2499,0.33324,0.28619,1.2654,0.17549,0.030913,1.2516,0.11437,-0.1714,1.213,0.088483,-0.36159,1.1465,0.081611,-0.42527,1.1175,0.45232,0.033809,1.2009,0.52469,-0.16691,1.1262,0.5255,-0.34829,1.0632,0.5193,-0.39883,1.0529,0.21841,-0.2281,1.1358,0.18066,-0.57258,1.1429,0.15091,-0.84401,1.1348,0.13067,-0.87944,1.0684,0.36058,-0.22632,1.092,0.54866,-0.028231,1.1917,0.74915,0.18294,1.2875,0.77256,0.24863,1.2426,In,Near
