Frame,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Categories,
,Hip Center,,,Spine,,,Shoulder Center,,,Head,,,Shoulder Left,,,Elbow Left,,,Wrist Left,,,Hand Left,,,Shoulder Right,,,Elbow Right,,,Wrist Right,,,Hand Right,,,Hip Left,,,Knee Left,,,Ankle Left,,,Foot Left,,,Hip Right,,,Knee Right,,,Ankle Right,,,Foot Right,,,Position,Depth
20,0.54093,-0.71655,3.7372,0.55619,-0.67671,3.8027,0.56804,-0.36077,3.8825,0.57156,-0.17571,3.9072,0.41494,-0.45735,3.8538,0.33697,-0.72929,3.8102,0.30979,-0.95158,3.7196,0.29898,-1.0264,3.6777,0.70107,-0.45895,3.7867,0.78117,-0.70284,3.7123,0.7547,-0.90773,3.5795,0.75008,-0.9807,3.5538,0.46856,-0.77682,3.7224,0.49243,-1.1135,3.6086,0.49323,-1.4032,3.5583,0.4757,-1.4319,3.4763,0.60186,-0.78643,3.6748,0.61188,-1.1277,3.6013,0.63515,-1.4247,3.6127,0.6242,-1.4814,3.5455,In,Far
21,0.5639,-0.6824,3.525,0.58774,-0.63644,3.5831,0.61622,-0.31009,3.6366,0.58702,-0.128,3.6356,0.44144,-0.42086,3.6466,0.37988,-0.68775,3.5939,0.3372,-0.87969,3.4911,0.34011,-0.97193,3.4616,0.73893,-0.4069,3.5444,0.8054,-0.62687,3.4572,0.75201,-0.81638,3.3551,0.72902,-0.905,3.3233,0.48727,-0.75607,3.5308,0.47111,-1.0892,3.4529,0.45572,-1.3431,3.4186,0.42296,-1.3756,3.3363,0.62108,-0.74493,3.4725,0.64917,-1.0748,3.4287,0.68512,-1.3243,3.3864,0.67254,-1.3954,3.3514,In,Far
22,0.38151,-0.66663,3.4461,0.39537,-0.62292,3.5097,0.39237,-0.29591,3.5886,0.38737,-0.10795,3.6015,0.22574,-0.39921,3.56,0.15978,-0.67529,3.5041,0.10915,-0.86951,3.3842,0.10774,-0.94084,3.3619,0.54252,-0.39045,3.4757,0.62913,-0.66841,3.4039,0.65066,-0.86812,3.2843,0.64397,-0.92652,3.2696,0.30838,-0.74188,3.4362,0.31366,-1.0805,3.3816,0.32565,-1.3162,3.3624,0.3063,-1.3611,3.2801,0.44937,-0.72801,3.3978,0.48036,-1.0671,3.2893,0.51724,-1.2898,3.2539,0.50627,-1.3283,3.1669,In,Far
23,0.29885,-0.65612,3.3553,0.31169,-0.61336,3.4209,0.33231,-0.28298,3.505,0.32873,-0.091155,3.5271,0.15301,-0.3874,3.4698,0.089167,-0.67182,3.4272,0.050779,-0.89394,3.3601,0.056146,-0.94457,3.3365,0.47701,-0.38578,3.4159,0.53883,-0.65398,3.3091,0.53486,-0.85146,3.1747,0.53624,-0.91061,3.1448,0.21964,-0.72274,3.3388,0.18241,-1.0381,3.2393,0.15873,-1.2644,3.1881,0.13797,-1.2907,3.0973,0.36594,-0.72349,3.3113,0.37574,-1.0544,3.2765,0.38737,-1.2828,3.2617,0.37723,-1.3318,3.1789,In,Far
24,0.32212,-0.62115,3.1158,0.32079,-0.57935,3.1831,0.31757,-0.25216,3.2696,0.33815,-0.054524,3.272,0.15633,-0.35612,3.1993,0.094534,-0.61933,3.1407,0.068747,-0.83327,3.0422,0.071337,-0.88824,3.0156,0.47596,-0.35675,3.198,0.54532,-0.61344,3.1217,0.56574,-0.80952,2.9867,0.56507,-0.86852,2.9473,0.25274,-0.6887,3.0827,0.24425,-1.0165,3.0166,0.26322,-1.3101,2.9949,0.26832,-1.3542,2.9071,0.3949,-0.68578,3.0885,0.41174,-1.0156,2.9764,0.41913,-1.2945,2.9115,0.42061,-1.3197,2.8164,In,Far
25,0.48168,-0.61053,3.0331,0.4993,-0.56327,3.0933,0.51168,-0.23305,3.1462,0.49139,-0.034648,3.142,0.3385,-0.3383,3.1485,0.29174,-0.60618,3.1023,0.27112,-0.82181,3.0073,0.28253,-0.86358,2.9924,0.64958,-0.32544,3.064,0.72435,-0.5661,2.9827,0.68705,-0.76537,2.8577,0.66905,-0.85512,2.8034,0.40605,-0.68522,3.0328,0.37056,-0.99075,2.9755,0.35776,-1.3079,2.9165,0.33159,-1.3368,2.8264,0.54651,-0.67569,2.9861,0.57381,-0.98887,2.9407,0.58464,-1.2972,2.8574,0.56269,-1.3206,2.7646,In,Far
26,0.5029,-0.60019,2.9812,0.52359,-0.55255,3.04,0.52504,-0.22476,3.0918,0.50363,-0.027521,3.0995,0.35648,-0.3406,3.1136,0.31877,-0.61361,3.0797,0.28056,-0.82708,2.9871,0.28521,-0.89178,2.9721,0.66209,-0.31185,3.0066,0.72991,-0.55343,2.9324,0.69513,-0.75784,2.8176,0.67746,-0.85259,2.776,0.42885,-0.6767,2.9874,0.44957,-0.99467,2.925,0.53167,-1.288,2.8473,0.51659,-1.3166,2.755,0.56643,-0.6626,2.9264,0.59344,-0.97387,2.8276,0.61082,-1.2417,2.652,0.58396,-1.2474,2.5582,In,Far
27,0.52038,-0.56554,2.7864,0.54616,-0.5176,2.8434,0.56825,-0.18573,2.8925,0.52471,0.00023284,2.876,0.38802,-0.29901,2.916,0.34399,-0.57083,2.8778,0.30436,-0.77691,2.7684,0.30824,-0.82636,2.7329,0.68601,-0.27359,2.7974,0.74966,-0.51749,2.7171,0.70528,-0.71965,2.6018,0.68299,-0.80941,2.5536,0.44261,-0.6426,2.7982,0.4453,-0.93778,2.7268,0.53449,-1.2442,2.6145,0.51651,-1.2653,2.5208,0.58131,-0.62781,2.7298,0.60769,-0.93906,2.6678,0.52471,-1.2399,2.5938,0.47853,-1.2566,2.5093,In,Far
28,0.50503,-0.55215,2.7083,0.52598,-0.5045,2.7673,0.53429,-0.17435,2.8211,0.49386,0.01631,2.8169,0.36805,-0.2809,2.8348,0.31623,-0.55286,2.7921,0.28147,-0.76852,2.7057,0.27988,-0.82026,2.6848,0.66295,-0.26052,2.7319,0.73496,-0.50834,2.6504,0.68945,-0.73054,2.534,0.68999,-0.79516,2.4945,0.43131,-0.62451,2.7116,0.44865,-0.92374,2.6585,0.53462,-1.2276,2.5366,0.51888,-1.245,2.442,0.56807,-0.61437,2.6596,0.60149,-0.91143,2.5611,0.40239,-1.1515,2.5879,0.33593,-1.1631,2.5176,In,Far
29,0.32802,-0.54954,2.6737,0.34142,-0.50519,2.7357,0.35499,-0.18104,2.7989,0.32941,0.014549,2.7883,0.16311,-0.28198,2.7881,0.11978,-0.546,2.7207,0.0882,-0.75555,2.6175,0.095047,-0.84992,2.5812,0.49564,-0.2777,2.7221,0.58563,-0.53735,2.6697,0.63148,-0.74277,2.5633,0.63375,-0.80445,2.5336,0.24935,-0.62342,2.6633,0.19744,-0.91672,2.6104,0.27967,-1.2363,2.547,0.28066,-1.2657,2.4543,0.39626,-0.61742,2.631,0.45845,-0.93314,2.6018,0.51885,-1.2398,2.5606,0.51506,-1.2761,2.4705,In,Far
