Frame,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Joint X,Joint Y,Joint Z,Categories,
,Hip Center,,,Spine,,,Shoulder Center,,,Head,,,Shoulder Left,,,Elbow Left,,,Wrist Left,,,Hand Left,,,Shoulder Right,,,Elbow Right,,,Wrist Right,,,Hand Right,,,Hip Left,,,Knee Left,,,Ankle Left,,,Foot Left,,,Hip Right,,,Knee Right,,,Ankle Right,,,Foot Right,,,Position,Depth
20,0.30116,-0.23541,1.3381,0.30233,-0.18636,1.3947,0.32101,0.13353,1.432,0.31788,0.30419,1.4432,0.14812,0.031323,1.4132,-0.094791,0.0065371,1.4064,-0.29345,0.020493,1.3724,-0.38157,0.027305,1.3496,0.49202,0.020912,1.4273,0.68756,-0.013923,1.4293,0.90565,-0.052776,1.4462,0.9715,-0.064508,1.455,0.22114,-0.30608,1.313,0.050499,-0.71076,1.3757,-0.088167,-1.0396,1.4125,-0.11611,-1.0902,1.3335,0.3731,-0.31362,1.3203,0.57925,-0.70421,1.2493,0.74678,-1.0216,1.1775,0.77377,-1.0402,1.0853,Out,Far
21,0.21476,-0.27796,1.5626,0.21561,-0.22588,1.6135,0.23283,0.082801,1.6157,0.24104,0.25534,1.6065,0.055026,0.00040658,1.6148,-0.19533,-0.027093,1.6233,-0.39487,-0.029637,1.6038,-0.48369,-0.025469,1.5853,0.41585,-0.012177,1.6301,0.61671,-0.051203,1.6225,0.81219,-0.058288,1.5701,0.87591,-0.060212,1.5491,0.13154,-0.35402,1.5468,0.0025996,-0.77779,1.5105,-0.10039,-1.1163,1.4672,-0.11105,-1.1497,1.3763,0.28975,-0.3613,1.5502,0.34068,-0.79939,1.4903,0.38135,-1.1493,1.4282,0.39099,-1.1803,1.3363,Out,Far
22,0.19225,-0.30767,1.6787,0.17881,-0.26034,1.7315,0.12879,0.054671,1.7545,0.23254,0.16945,1.6625,0.02645,-0.022981,1.7084,-0.22227,-0.034927,1.6862,-0.4188,-0.045257,1.6379,-0.477,-0.014166,1.6237,0.38901,-0.028222,1.7567,0.61368,-0.070262,1.783,0.81308,-0.073122,1.7545,0.90146,-0.071733,1.7315,0.11978,-0.3876,1.6542,0.017887,-0.81583,1.625,-0.061922,-1.1513,1.5877,-0.063861,-1.1866,1.4977,0.27967,-0.38734,1.6708,0.29963,-0.81949,1.5755,0.31526,-1.158,1.4864,0.3289,-1.1815,1.3936,Out,Far
23,0.32587,-0.31145,1.817,0.328,-0.2615,1.8742,0.3287,0.064446,1.9145,0.33504,0.23664,1.9537,0.15201,-0.035899,1.9079,-0.069719,-0.097844,1.8871,-0.27181,-0.10043,1.8659,-0.35665,-0.097151,1.8481,0.51879,-0.048425,1.8897,0.7287,-0.06777,1.8934,0.92349,-0.068024,1.8379,0.94887,-0.062409,1.8227,0.24561,-0.39023,1.8006,0.20575,-0.81691,1.715,0.17441,-1.1523,1.6333,0.16651,-1.1762,1.5403,0.40482,-0.39395,1.7869,0.43755,-0.82495,1.7277,0.46327,-1.1637,1.6668,0.46397,-1.1926,1.5749,Out,Far
24,0.32595,-0.34598,1.9635,0.32325,-0.29483,2.0181,0.32248,0.025938,2.0421,0.32443,0.2029,2.0591,0.1417,-0.064757,2.0301,-0.10181,-0.10419,1.9898,-0.29775,-0.11544,1.9405,-0.38559,-0.11047,1.9169,0.50382,-0.073195,2.0453,0.74294,-0.10386,2.051,0.93654,-0.10405,1.9887,1.0204,-0.10267,1.9531,0.24759,-0.42715,1.9379,0.25182,-0.86225,1.883,0.25513,-1.2032,1.8255,0.25979,-1.2338,1.7337,0.4058,-0.42422,1.9511,0.46223,-0.84433,1.8317,0.50646,-1.1736,1.7237,0.51596,-1.1939,1.6295,Out,Far
25,0.38599,-0.35284,2.0233,0.38691,-0.30174,2.0782,0.38457,0.019745,2.1047,0.37414,0.19834,2.1286,0.20201,-0.079777,2.1067,-0.016995,-0.12865,2.0814,-0.21142,-0.13409,2.0253,-0.27515,-0.12252,2.0155,0.56521,-0.07945,2.0964,0.78459,-0.095476,2.0879,0.97033,-0.10339,2.0035,1.0295,-0.10539,1.9719,0.30671,-0.43173,2.0016,0.28501,-0.85593,1.9164,0.26783,-1.1916,1.8346,0.263,-1.2169,1.7414,0.46624,-0.43242,2.0062,0.5062,-0.8554,1.9216,0.53783,-1.1901,1.8402,0.53981,-1.2155,1.747,Out,Far
26,0.38511,-0.36092,2.0453,0.38691,-0.30855,2.0999,0.3876,0.016574,2.1235,0.37431,0.19276,2.139,0.20578,-0.080888,2.1281,-0.024024,-0.12164,2.0956,-0.21829,-0.12369,2.0394,-0.30504,-0.11117,2.0156,0.56827,-0.083061,2.1164,0.78457,-0.10703,2.1127,0.98273,-0.11291,2.0259,1.0397,-0.12054,1.9912,0.30497,-0.44043,2.0282,0.28956,-0.86136,1.9734,0.27718,-1.1992,1.9151,0.27267,-1.2295,1.8235,0.4641,-0.43967,2.0256,0.49512,-0.85633,1.945,0.52002,-1.1908,1.866,0.52089,-1.217,1.7731,Out,Far
27,0.19667,-0.37725,2.0657,0.196,-0.32808,2.1206,0.19884,-0.015076,2.1452,0.20522,0.17007,2.1405,0.018507,-0.095777,2.1346,-0.21785,-0.12228,2.097,-0.40003,-0.09993,2.009,-0.47739,-0.0863,1.9628,0.38475,-0.098597,2.1424,0.5958,-0.13827,2.1225,0.79154,-0.13931,2.0768,0.85678,-0.13966,2.0657,0.11629,-0.45611,2.0459,0.07709,-0.86876,1.9907,0.045126,-1.2052,1.9316,0.042232,-1.2351,1.8396,0.27601,-0.458,2.0451,0.31716,-0.86324,1.9448,0.3507,-1.1937,1.8489,0.35712,-1.216,1.755,Out,Far
28,0.10532,-0.37216,2.0288,0.10124,-0.32257,2.0852,0.10817,-0.0015136,2.1202,0.10091,0.18142,2.1172,-0.074354,-0.085845,2.0834,-0.32963,-0.11032,2.0814,-0.519,-0.10221,2.0094,-0.57937,-0.077482,1.9928,0.27636,-0.093043,2.1186,0.49227,-0.13664,2.0971,0.68924,-0.13256,2.0589,0.73175,-0.11479,2.048,0.027265,-0.4463,1.9947,-0.028496,-0.84549,1.9182,-0.07462,-1.1757,1.841,-0.072519,-1.2016,1.7479,0.18196,-0.45273,2.0194,0.19195,-0.85095,1.9182,0.20022,-1.1803,1.8205,0.21023,-1.2018,1.7268,Out,Far
29,-0.12462,-0.35983,1.9799,-0.12799,-0.31041,2.0369,-0.13272,0.012707,2.0756,-0.13335,0.19495,2.0917,-0.30565,-0.071669,2.0623,-0.52669,-0.087623,2.0333,-0.71006,-0.071448,1.9457,-0.77172,-0.058654,1.9062,0.041968,-0.093292,2.074,0.29002,-0.14381,2.0624,0.48528,-0.14618,2.0112,0.57426,-0.14659,1.9918,-0.20005,-0.4347,1.9494,-0.24185,-0.83654,1.8944,-0.27652,-1.1698,1.8348,-0.2777,-1.199,1.7427,-0.047243,-0.43818,1.9664,-0.039605,-0.83193,1.8544,-0.033271,-1.1585,1.7475,-0.028098,-1.1778,1.653,Out,Far
